Month#,Year,Month,Crashes,Fatalities,Hospitalized,Trend
1,2001,January,1574,25,362,
2,2001,February,1679,17,380,
3,2001,March,1880,20,481,
4,2001,April,1611,22,361,
5,2001,May,1895,30,432,
6,2001,June,2003,30,437,
7,2001,July,1895,36,464,30.599999999999998
8,2001,August,1971,22,448,39.13333333333333
9,2001,September,1815,34,477,31.866666666666667
10,2001,October,2020,33,510,33.2
11,2001,November,1917,28,468,32.13333333333333
12,2001,December,1759,27,489,29.800000000000004
13,2002,January,1503,23,354,27.200000000000003
14,2002,February,1696,20,403,25.733333333333334
15,2002,March,1992,25,468,17.4
16,2002,April,1859,24,486,19.2
17,2002,May,1989,27,512,21.599999999999994
18,2002,June,1849,20,473,25.133333333333333
19,2002,July,1986,27,443,23.666666666666668
20,2002,August,2143,35,536,26.133333333333333
21,2002,September,1876,31,495,31.533333333333335
22,2002,October,1819,37,490,33.93333333333334
23,2002,November,1811,30,473,38.6
24,2002,December,1788,23,467,37.6
